Score,Project
"[[{'label': 'neutral', 'score': 0.9463567137718201}, {'label': 'positive', 'score': 0.03249836713075638}, {'label': 'negative', 'score': 0.0211449284106493}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.938692033290863}, {'label': 'negative', 'score': 0.039950888603925705}, {'label': 'positive', 'score': 0.021357044577598572}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9170853495597839}, {'label': 'positive', 'score': 0.06793393194675446}, {'label': 'negative', 'score': 0.014980747364461422}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9449898600578308}, {'label': 'negative', 'score': 0.031553689390420914}, {'label': 'positive', 'score': 0.02345644310116768}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.944969117641449}, {'label': 'negative', 'score': 0.03313479572534561}, {'label': 'positive', 'score': 0.02189614437520504}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9338182806968689}, {'label': 'negative', 'score': 0.04503519833087921}, {'label': 'positive', 'score': 0.021146539598703384}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9435275197029114}, {'label': 'positive', 'score': 0.038489796221256256}, {'label': 'negative', 'score': 0.01798267848789692}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9424792528152466}, {'label': 'positive', 'score': 0.042822957038879395}, {'label': 'negative', 'score': 0.014697867445647717}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9448692798614502}, {'label': 'positive', 'score': 0.029631029814481735}, {'label': 'negative', 'score': 0.02549971267580986}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9367091655731201}, {'label': 'positive', 'score': 0.04320903122425079}, {'label': 'negative', 'score': 0.020081762224435806}]]",Uniswap
"[[{'label': 'neutral', 'score': 0.9330261945724487}, {'label': 'negative', 'score': 0.040219202637672424}, {'label': 'positive', 'score': 0.0267545897513628}]]",Compound
"[[{'label': 'neutral', 'score': 0.9408721327781677}, {'label': 'positive', 'score': 0.035099100321531296}, {'label': 'negative', 'score': 0.024028725922107697}]]",Compound
"[[{'label': 'neutral', 'score': 0.9452890753746033}, {'label': 'positive', 'score': 0.03918790817260742}, {'label': 'negative', 'score': 0.015522961504757404}]]",Compound
"[[{'label': 'neutral', 'score': 0.6206219792366028}, {'label': 'positive', 'score': 0.3701002895832062}, {'label': 'negative', 'score': 0.009277723729610443}]]",Compound
"[[{'label': 'positive', 'score': 0.524451494216919}, {'label': 'neutral', 'score': 0.46301987767219543}, {'label': 'negative', 'score': 0.012528570368885994}]]",Compound
"[[{'label': 'neutral', 'score': 0.9471893310546875}, {'label': 'positive', 'score': 0.028545264154672623}, {'label': 'negative', 'score': 0.024265436455607414}]]",Compound
"[[{'label': 'neutral', 'score': 0.9441584348678589}, {'label': 'negative', 'score': 0.030063912272453308}, {'label': 'positive', 'score': 0.02577758952975273}]]",Compound
"[[{'label': 'neutral', 'score': 0.9390275478363037}, {'label': 'positive', 'score': 0.030550282448530197}, {'label': 'negative', 'score': 0.030422242358326912}]]",Compound
"[[{'label': 'neutral', 'score': 0.9352123737335205}, {'label': 'negative', 'score': 0.04562341049313545}, {'label': 'positive', 'score': 0.019164210185408592}]]",Compound
"[[{'label': 'neutral', 'score': 0.8971004486083984}, {'label': 'negative', 'score': 0.06484252959489822}, {'label': 'positive', 'score': 0.038056984543800354}]]",Compound
"[[{'label': 'neutral', 'score': 0.9451466202735901}, {'label': 'positive', 'score': 0.03555803745985031}, {'label': 'negative', 'score': 0.019295355305075645}]]",Aave
"[[{'label': 'neutral', 'score': 0.9289249777793884}, {'label': 'positive', 'score': 0.049497008323669434}, {'label': 'negative', 'score': 0.02157803252339363}]]",Aave
"[[{'label': 'neutral', 'score': 0.598998486995697}, {'label': 'positive', 'score': 0.38885512948036194}, {'label': 'negative', 'score': 0.012146379798650742}]]",Aave
"[[{'label': 'neutral', 'score': 0.9453281164169312}, {'label': 'positive', 'score': 0.029772816225886345}, {'label': 'negative', 'score': 0.024899128824472427}]]",Aave
"[[{'label': 'neutral', 'score': 0.898444652557373}, {'label': 'positive', 'score': 0.08829296380281448}, {'label': 'negative', 'score': 0.013262413442134857}]]",Aave
"[[{'label': 'neutral', 'score': 0.9262830018997192}, {'label': 'negative', 'score': 0.0505610890686512}, {'label': 'positive', 'score': 0.02315591648221016}]]",Aave
"[[{'label': 'neutral', 'score': 0.9347639083862305}, {'label': 'positive', 'score': 0.034160275012254715}, {'label': 'negative', 'score': 0.03107578493654728}]]",Aave
"[[{'label': 'neutral', 'score': 0.930494487285614}, {'label': 'negative', 'score': 0.04614397883415222}, {'label': 'positive', 'score': 0.023361554369330406}]]",Aave
"[[{'label': 'neutral', 'score': 0.9397357106208801}, {'label': 'negative', 'score': 0.03929810971021652}, {'label': 'positive', 'score': 0.020966166630387306}]]",Aave
"[[{'label': 'neutral', 'score': 0.9484936594963074}, {'label': 'negative', 'score': 0.028465645387768745}, {'label': 'positive', 'score': 0.02304067462682724}]]",Aave
"[[{'label': 'neutral', 'score': 0.8769386410713196}, {'label': 'positive', 'score': 0.11084399372339249}, {'label': 'negative', 'score': 0.012217423878610134}]]",Maker
"[[{'label': 'neutral', 'score': 0.9444586634635925}, {'label': 'negative', 'score': 0.03189785033464432}, {'label': 'positive', 'score': 0.023643450811505318}]]",Maker
"[[{'label': 'neutral', 'score': 0.9471035599708557}, {'label': 'negative', 'score': 0.028900330886244774}, {'label': 'positive', 'score': 0.023996135219931602}]]",Maker
"[[{'label': 'neutral', 'score': 0.9318850040435791}, {'label': 'positive', 'score': 0.04854556918144226}, {'label': 'negative', 'score': 0.019569411873817444}]]",Maker
"[[{'label': 'neutral', 'score': 0.9446008205413818}, {'label': 'positive', 'score': 0.028689635917544365}, {'label': 'negative', 'score': 0.026709502562880516}]]",Maker
"[[{'label': 'neutral', 'score': 0.9454032182693481}, {'label': 'positive', 'score': 0.02825130522251129}, {'label': 'negative', 'score': 0.026345469057559967}]]",Maker
"[[{'label': 'neutral', 'score': 0.9404190182685852}, {'label': 'negative', 'score': 0.03193514421582222}, {'label': 'positive', 'score': 0.027645807713270187}]]",Maker
"[[{'label': 'neutral', 'score': 0.9425159692764282}, {'label': 'positive', 'score': 0.03992992639541626}, {'label': 'negative', 'score': 0.01755412667989731}]]",Maker
"[[{'label': 'neutral', 'score': 0.9387463331222534}, {'label': 'positive', 'score': 0.037121038883924484}, {'label': 'negative', 'score': 0.024132633581757545}]]",Maker
"[[{'label': 'neutral', 'score': 0.9463278651237488}, {'label': 'negative', 'score': 0.02771950699388981}, {'label': 'positive', 'score': 0.025952588766813278}]]",Maker
"[[{'label': 'neutral', 'score': 0.9328594207763672}, {'label': 'negative', 'score': 0.042375046759843826}, {'label': 'positive', 'score': 0.024765493348240852}]]",Curve
"[[{'label': 'neutral', 'score': 0.9248246550559998}, {'label': 'positive', 'score': 0.059128206223249435}, {'label': 'negative', 'score': 0.016047149896621704}]]",Curve
"[[{'label': 'neutral', 'score': 0.9405173659324646}, {'label': 'negative', 'score': 0.031077975407242775}, {'label': 'positive', 'score': 0.028404630720615387}]]",Curve
"[[{'label': 'neutral', 'score': 0.9443029761314392}, {'label': 'negative', 'score': 0.03305639699101448}, {'label': 'positive', 'score': 0.022640662267804146}]]",Curve
"[[{'label': 'neutral', 'score': 0.9069854617118835}, {'label': 'negative', 'score': 0.07206028699874878}, {'label': 'positive', 'score': 0.020954236388206482}]]",Curve
"[[{'label': 'neutral', 'score': 0.9338824152946472}, {'label': 'positive', 'score': 0.05207756534218788}, {'label': 'negative', 'score': 0.014040039852261543}]]",Curve
"[[{'label': 'neutral', 'score': 0.8954619765281677}, {'label': 'positive', 'score': 0.08718974888324738}, {'label': 'negative', 'score': 0.01734832488000393}]]",Curve
"[[{'label': 'neutral', 'score': 0.8633745312690735}, {'label': 'positive', 'score': 0.12142634391784668}, {'label': 'negative', 'score': 0.015199108049273491}]]",Curve
"[[{'label': 'neutral', 'score': 0.9246505498886108}, {'label': 'positive', 'score': 0.05415310710668564}, {'label': 'negative', 'score': 0.02119637466967106}]]",Curve
"[[{'label': 'neutral', 'score': 0.922961950302124}, {'label': 'negative', 'score': 0.046839695423841476}, {'label': 'positive', 'score': 0.03019840642809868}]]",Curve
"[[{'label': 'neutral', 'score': 0.9291402697563171}, {'label': 'negative', 'score': 0.04372210055589676}, {'label': 'positive', 'score': 0.027137678116559982}]]",SushiSwap
"[[{'label': 'neutral', 'score': 0.9421703219413757}, {'label': 'positive', 'score': 0.04055670648813248}, {'label': 'negative', 'score': 0.017272932454943657}]]",SushiSwap
"[[{'label': 'neutral', 'score': 0.9473904371261597}, {'label': 'positive', 'score': 0.031280845403671265}, {'label': 'negative', 'score': 0.021328698843717575}]]",SushiSwap
"[[{'label': 'negative', 'score': 0.8189205527305603}, {'label': 'neutral', 'score': 0.1552196890115738}, {'label': 'positive', 'score': 0.025859780609607697}]]",SushiSwap
"[[{'label': 'neutral', 'score': 0.927421510219574}, {'label': 'negative', 'score': 0.04370144382119179}, {'label': 'positive', 'score': 0.028877081349492073}]]",SushiSwap
"[[{'label': 'neutral', 'score': 0.9301158785820007}, {'label': 'positive', 'score': 0.05287682265043259}, {'label': 'negative', 'score': 0.017007332295179367}]]",SushiSwap
"[[{'label': 'neutral', 'score': 0.8854363560676575}, {'label': 'positive', 'score': 0.10490810126066208}, {'label': 'negative', 'score': 0.009655514732003212}]]",SushiSwap
"[[{'label': 'neutral', 'score': 0.8903003931045532}, {'label': 'positive', 'score': 0.09444618970155716}, {'label': 'negative', 'score': 0.015253403224050999}]]",SushiSwap
"[[{'label': 'neutral', 'score': 0.8983995318412781}, {'label': 'positive', 'score': 0.08953113853931427}, {'label': 'negative', 'score': 0.01206931658089161}]]",SushiSwap
"[[{'label': 'neutral', 'score': 0.92950439453125}, {'label': 'negative', 'score': 0.05082559585571289}, {'label': 'positive', 'score': 0.019669972360134125}]]",SushiSwap
"[[{'label': 'neutral', 'score': 0.9124733209609985}, {'label': 'negative', 'score': 0.04559306427836418}, {'label': 'positive', 'score': 0.04193359613418579}]]",Yearn Finance
"[[{'label': 'neutral', 'score': 0.9436383247375488}, {'label': 'negative', 'score': 0.02850869484245777}, {'label': 'positive', 'score': 0.02785293199121952}]]",Yearn Finance
"[[{'label': 'neutral', 'score': 0.9449931979179382}, {'label': 'positive', 'score': 0.034749239683151245}, {'label': 'negative', 'score': 0.020257597789168358}]]",Yearn Finance
"[[{'label': 'positive', 'score': 0.7536683678627014}, {'label': 'neutral', 'score': 0.22813943028450012}, {'label': 'negative', 'score': 0.018192173913121223}]]",Yearn Finance
"[[{'label': 'neutral', 'score': 0.9307448863983154}, {'label': 'positive', 'score': 0.054447636008262634}, {'label': 'negative', 'score': 0.014807519502937794}]]",Yearn Finance
"[[{'label': 'neutral', 'score': 0.9525332450866699}, {'label': 'positive', 'score': 0.026161298155784607}, {'label': 'negative', 'score': 0.02130541205406189}]]",Yearn Finance
"[[{'label': 'neutral', 'score': 0.9218617081642151}, {'label': 'negative', 'score': 0.05982106924057007}, {'label': 'positive', 'score': 0.018317250534892082}]]",Yearn Finance
"[[{'label': 'neutral', 'score': 0.9400020241737366}, {'label': 'positive', 'score': 0.034066248685121536}, {'label': 'negative', 'score': 0.02593180164694786}]]",Yearn Finance
"[[{'label': 'neutral', 'score': 0.9411842823028564}, {'label': 'negative', 'score': 0.03617838770151138}, {'label': 'positive', 'score': 0.022637372836470604}]]",Yearn Finance
"[[{'label': 'neutral', 'score': 0.9243578910827637}, {'label': 'negative', 'score': 0.04982677847146988}, {'label': 'positive', 'score': 0.025815283879637718}]]",Yearn Finance
"[[{'label': 'neutral', 'score': 0.9501906633377075}, {'label': 'positive', 'score': 0.027588067576289177}, {'label': 'negative', 'score': 0.02222129888832569}]]",Synthetix
"[[{'label': 'neutral', 'score': 0.9448601007461548}, {'label': 'negative', 'score': 0.028044378384947777}, {'label': 'positive', 'score': 0.027095504105091095}]]",Synthetix
"[[{'label': 'neutral', 'score': 0.903757631778717}, {'label': 'positive', 'score': 0.08748449385166168}, {'label': 'negative', 'score': 0.008757807314395905}]]",Synthetix
"[[{'label': 'neutral', 'score': 0.9277556538581848}, {'label': 'negative', 'score': 0.04248083010315895}, {'label': 'positive', 'score': 0.029763512313365936}]]",Synthetix
"[[{'label': 'neutral', 'score': 0.9303193688392639}, {'label': 'positive', 'score': 0.051021408289670944}, {'label': 'negative', 'score': 0.018659207969903946}]]",Synthetix
"[[{'label': 'neutral', 'score': 0.9350048303604126}, {'label': 'negative', 'score': 0.041848763823509216}, {'label': 'positive', 'score': 0.023146454244852066}]]",Synthetix
"[[{'label': 'neutral', 'score': 0.9427279233932495}, {'label': 'positive', 'score': 0.03509955108165741}, {'label': 'negative', 'score': 0.022172536700963974}]]",Synthetix
"[[{'label': 'neutral', 'score': 0.9418635368347168}, {'label': 'positive', 'score': 0.04056469351053238}, {'label': 'negative', 'score': 0.01757177524268627}]]",Synthetix
"[[{'label': 'neutral', 'score': 0.9514047503471375}, {'label': 'positive', 'score': 0.02496647648513317}, {'label': 'negative', 'score': 0.023628802970051765}]]",Synthetix
"[[{'label': 'neutral', 'score': 0.9382185935974121}, {'label': 'positive', 'score': 0.03169768303632736}, {'label': 'negative', 'score': 0.030083656311035156}]]",Synthetix
"[[{'label': 'neutral', 'score': 0.9454482793807983}, {'label': 'positive', 'score': 0.027591846883296967}, {'label': 'negative', 'score': 0.026959924027323723}]]",Balancer
"[[{'label': 'neutral', 'score': 0.9468843936920166}, {'label': 'positive', 'score': 0.030199220404028893}, {'label': 'negative', 'score': 0.022916322574019432}]]",Balancer
"[[{'label': 'negative', 'score': 0.7629136443138123}, {'label': 'neutral', 'score': 0.12338440865278244}, {'label': 'positive', 'score': 0.11370192468166351}]]",Balancer
"[[{'label': 'neutral', 'score': 0.9505571722984314}, {'label': 'positive', 'score': 0.02504502236843109}, {'label': 'negative', 'score': 0.024397801607847214}]]",Balancer
"[[{'label': 'positive', 'score': 0.8425101041793823}, {'label': 'neutral', 'score': 0.14994241297245026}, {'label': 'negative', 'score': 0.007547462824732065}]]",Balancer
"[[{'label': 'neutral', 'score': 0.943719208240509}, {'label': 'positive', 'score': 0.029954349622130394}, {'label': 'negative', 'score': 0.026326442137360573}]]",Balancer
"[[{'label': 'negative', 'score': 0.9475722312927246}, {'label': 'positive', 'score': 0.03241228684782982}, {'label': 'neutral', 'score': 0.02001546509563923}]]",Balancer
"[[{'label': 'negative', 'score': 0.5813707709312439}, {'label': 'neutral', 'score': 0.3604292869567871}, {'label': 'positive', 'score': 0.05819997936487198}]]",Balancer
"[[{'label': 'negative', 'score': 0.8124101758003235}, {'label': 'neutral', 'score': 0.13897007703781128}, {'label': 'positive', 'score': 0.048619724810123444}]]",Balancer
"[[{'label': 'neutral', 'score': 0.9476028680801392}, {'label': 'negative', 'score': 0.029589498415589333}, {'label': 'positive', 'score': 0.02280767261981964}]]",Balancer
"[[{'label': 'neutral', 'score': 0.9383578896522522}, {'label': 'positive', 'score': 0.04329626262187958}, {'label': 'negative', 'score': 0.018345791846513748}]]",dYdX
"[[{'label': 'neutral', 'score': 0.841640293598175}, {'label': 'positive', 'score': 0.14806976914405823}, {'label': 'negative', 'score': 0.010289869271218777}]]",dYdX
"[[{'label': 'neutral', 'score': 0.9430425763130188}, {'label': 'negative', 'score': 0.0343618206679821}, {'label': 'positive', 'score': 0.022595589980483055}]]",dYdX
"[[{'label': 'neutral', 'score': 0.9459205865859985}, {'label': 'positive', 'score': 0.030140234157443047}, {'label': 'negative', 'score': 0.02393919602036476}]]",dYdX
"[[{'label': 'neutral', 'score': 0.9395383596420288}, {'label': 'positive', 'score': 0.04438852146267891}, {'label': 'negative', 'score': 0.016073184087872505}]]",dYdX
"[[{'label': 'neutral', 'score': 0.934756875038147}, {'label': 'negative', 'score': 0.03394230455160141}, {'label': 'positive', 'score': 0.031300872564315796}]]",dYdX
"[[{'label': 'neutral', 'score': 0.9471975564956665}, {'label': 'positive', 'score': 0.030886979773640633}, {'label': 'negative', 'score': 0.02191547118127346}]]",dYdX
"[[{'label': 'neutral', 'score': 0.9203947186470032}, {'label': 'positive', 'score': 0.06808216124773026}, {'label': 'negative', 'score': 0.011523089371621609}]]",dYdX
"[[{'label': 'neutral', 'score': 0.9393417239189148}, {'label': 'positive', 'score': 0.04140828549861908}, {'label': 'negative', 'score': 0.01925002969801426}]]",dYdX
"[[{'label': 'neutral', 'score': 0.9439477920532227}, {'label': 'positive', 'score': 0.029593903571367264}, {'label': 'negative', 'score': 0.026458321139216423}]]",dYdX
"[[{'label': 'neutral', 'score': 0.94068843126297}, {'label': 'positive', 'score': 0.04460248723626137}, {'label': 'negative', 'score': 0.0147090470418334}]]",1inch
"[[{'label': 'neutral', 'score': 0.5363762378692627}, {'label': 'positive', 'score': 0.45260387659072876}, {'label': 'negative', 'score': 0.011019851081073284}]]",1inch
"[[{'label': 'neutral', 'score': 0.9465219974517822}, {'label': 'negative', 'score': 0.02887202613055706}, {'label': 'positive', 'score': 0.024606013670563698}]]",1inch
"[[{'label': 'neutral', 'score': 0.9459109902381897}, {'label': 'positive', 'score': 0.02773112617433071}, {'label': 'negative', 'score': 0.026357868686318398}]]",1inch
"[[{'label': 'neutral', 'score': 0.9410986304283142}, {'label': 'positive', 'score': 0.0301660243421793}, {'label': 'negative', 'score': 0.028735356405377388}]]",1inch
"[[{'label': 'neutral', 'score': 0.9445288181304932}, {'label': 'positive', 'score': 0.03259056806564331}, {'label': 'negative', 'score': 0.022880638018250465}]]",1inch
"[[{'label': 'neutral', 'score': 0.939189612865448}, {'label': 'negative', 'score': 0.03695341944694519}, {'label': 'positive', 'score': 0.023856911808252335}]]",1inch
"[[{'label': 'neutral', 'score': 0.9339601993560791}, {'label': 'negative', 'score': 0.04093027114868164}, {'label': 'positive', 'score': 0.02510949969291687}]]",1inch
"[[{'label': 'neutral', 'score': 0.9397938251495361}, {'label': 'negative', 'score': 0.03879525139927864}, {'label': 'positive', 'score': 0.02141089364886284}]]",1inch
"[[{'label': 'neutral', 'score': 0.9224045276641846}, {'label': 'negative', 'score': 0.04677869752049446}, {'label': 'positive', 'score': 0.030816758051514626}]]",1inch
"[[{'label': 'neutral', 'score': 0.9423598051071167}, {'label': 'positive', 'score': 0.04000338912010193}, {'label': 'negative', 'score': 0.017636796459555626}]]",Kyber Network
"[[{'label': 'neutral', 'score': 0.9477106928825378}, {'label': 'negative', 'score': 0.02806026116013527}, {'label': 'positive', 'score': 0.02422906644642353}]]",Kyber Network
"[[{'label': 'neutral', 'score': 0.9319281578063965}, {'label': 'positive', 'score': 0.054135628044605255}, {'label': 'negative', 'score': 0.013936193659901619}]]",Kyber Network
"[[{'label': 'neutral', 'score': 0.9476364850997925}, {'label': 'negative', 'score': 0.03039153479039669}, {'label': 'positive', 'score': 0.021971944719552994}]]",Kyber Network
"[[{'label': 'neutral', 'score': 0.9475486278533936}, {'label': 'positive', 'score': 0.028523389250040054}, {'label': 'negative', 'score': 0.023927947506308556}]]",Kyber Network
"[[{'label': 'negative', 'score': 0.9493522047996521}, {'label': 'neutral', 'score': 0.04269259795546532}, {'label': 'positive', 'score': 0.007955213077366352}]]",Kyber Network
"[[{'label': 'neutral', 'score': 0.7035732269287109}, {'label': 'positive', 'score': 0.2876213788986206}, {'label': 'negative', 'score': 0.008805356919765472}]]",Kyber Network
"[[{'label': 'neutral', 'score': 0.8956267237663269}, {'label': 'positive', 'score': 0.09516531974077225}, {'label': 'negative', 'score': 0.009207993745803833}]]",Kyber Network
"[[{'label': 'neutral', 'score': 0.9421537518501282}, {'label': 'negative', 'score': 0.03828927502036095}, {'label': 'positive', 'score': 0.019556965678930283}]]",Kyber Network
"[[{'label': 'neutral', 'score': 0.9402195811271667}, {'label': 'positive', 'score': 0.03940027579665184}, {'label': 'negative', 'score': 0.020380159839987755}]]",Kyber Network
"[[{'label': 'neutral', 'score': 0.9418834447860718}, {'label': 'negative', 'score': 0.03222418576478958}, {'label': 'positive', 'score': 0.025892334058880806}]]",Bancor
"[[{'label': 'neutral', 'score': 0.9480295181274414}, {'label': 'positive', 'score': 0.027850262820720673}, {'label': 'negative', 'score': 0.024120250716805458}]]",Bancor
"[[{'label': 'neutral', 'score': 0.9482552409172058}, {'label': 'positive', 'score': 0.026529811322689056}, {'label': 'negative', 'score': 0.025215018540620804}]]",Bancor
"[[{'label': 'neutral', 'score': 0.9448092579841614}, {'label': 'negative', 'score': 0.03112756460905075}, {'label': 'positive', 'score': 0.02406313084065914}]]",Bancor
"[[{'label': 'neutral', 'score': 0.9027559757232666}, {'label': 'positive', 'score': 0.08807947486639023}, {'label': 'negative', 'score': 0.009164529852569103}]]",Bancor
"[[{'label': 'neutral', 'score': 0.8278594017028809}, {'label': 'positive', 'score': 0.15856103599071503}, {'label': 'negative', 'score': 0.013579584658145905}]]",Bancor
"[[{'label': 'neutral', 'score': 0.9418834447860718}, {'label': 'negative', 'score': 0.03222418576478958}, {'label': 'positive', 'score': 0.025892334058880806}]]",Bancor
"[[{'label': 'neutral', 'score': 0.9287735819816589}, {'label': 'negative', 'score': 0.04949527978897095}, {'label': 'positive', 'score': 0.02173115871846676}]]",Bancor
"[[{'label': 'neutral', 'score': 0.8835679292678833}, {'label': 'positive', 'score': 0.06848964840173721}, {'label': 'negative', 'score': 0.04794247820973396}]]",Bancor
"[[{'label': 'negative', 'score': 0.5238752961158752}, {'label': 'neutral', 'score': 0.4582211375236511}, {'label': 'positive', 'score': 0.017903510481119156}]]",Bancor
