Score,Project
"[[{'label': 'neutral', 'score': 0.9456948041915894}, {'label': 'positive', 'score': 0.029708383604884148}, {'label': 'negative', 'score': 0.02459678053855896}]]",Alchemix
"[[{'label': 'neutral', 'score': 0.8742477297782898}, {'label': 'positive', 'score': 0.11460945010185242}, {'label': 'negative', 'score': 0.011142842471599579}]]",Alchemix
"[[{'label': 'neutral', 'score': 0.9021320939064026}, {'label': 'positive', 'score': 0.08194323629140854}, {'label': 'negative', 'score': 0.015924647450447083}]]",Alchemix
"[[{'label': 'neutral', 'score': 0.9368556141853333}, {'label': 'positive', 'score': 0.03405796363949776}, {'label': 'negative', 'score': 0.029086381196975708}]]",Alchemix
"[[{'label': 'neutral', 'score': 0.9448093771934509}, {'label': 'positive', 'score': 0.036611199378967285}, {'label': 'negative', 'score': 0.018579469993710518}]]",Alchemix
"[[{'label': 'neutral', 'score': 0.9493709802627563}, {'label': 'positive', 'score': 0.030330706387758255}, {'label': 'negative', 'score': 0.020298240706324577}]]",Alchemix
"[[{'label': 'neutral', 'score': 0.937587320804596}, {'label': 'negative', 'score': 0.041635092347860336}, {'label': 'positive', 'score': 0.02077755518257618}]]",Alchemix
"[[{'label': 'neutral', 'score': 0.9397096633911133}, {'label': 'positive', 'score': 0.04398337006568909}, {'label': 'negative', 'score': 0.016306990757584572}]]",Alchemix
"[[{'label': 'neutral', 'score': 0.9438585638999939}, {'label': 'negative', 'score': 0.03215157985687256}, {'label': 'positive', 'score': 0.023989902809262276}]]",Alchemix
"[[{'label': 'neutral', 'score': 0.9235777258872986}, {'label': 'positive', 'score': 0.05691816285252571}, {'label': 'negative', 'score': 0.019504155963659286}]]",Alchemix
"[[{'label': 'neutral', 'score': 0.9434990882873535}, {'label': 'negative', 'score': 0.0301037710160017}, {'label': 'positive', 'score': 0.026397140696644783}]]",Harvest Finance
"[[{'label': 'neutral', 'score': 0.9437764883041382}, {'label': 'negative', 'score': 0.03355634957551956}, {'label': 'positive', 'score': 0.022667240351438522}]]",Harvest Finance
"[[{'label': 'neutral', 'score': 0.9388415217399597}, {'label': 'positive', 'score': 0.04586196690797806}, {'label': 'negative', 'score': 0.015296568162739277}]]",Harvest Finance
"[[{'label': 'neutral', 'score': 0.9466837048530579}, {'label': 'positive', 'score': 0.03223322331905365}, {'label': 'negative', 'score': 0.02108304388821125}]]",Harvest Finance
"[[{'label': 'neutral', 'score': 0.9478492736816406}, {'label': 'positive', 'score': 0.03112165816128254}, {'label': 'negative', 'score': 0.0210291538387537}]]",Harvest Finance
"[[{'label': 'neutral', 'score': 0.943257749080658}, {'label': 'positive', 'score': 0.03600964695215225}, {'label': 'negative', 'score': 0.020732611417770386}]]",Harvest Finance
"[[{'label': 'neutral', 'score': 0.8908274173736572}, {'label': 'positive', 'score': 0.09551200270652771}, {'label': 'negative', 'score': 0.013660654425621033}]]",Harvest Finance
"[[{'label': 'neutral', 'score': 0.9513918161392212}, {'label': 'positive', 'score': 0.03021012805402279}, {'label': 'negative', 'score': 0.01839802786707878}]]",Harvest Finance
"[[{'label': 'neutral', 'score': 0.9433844089508057}, {'label': 'negative', 'score': 0.03234418109059334}, {'label': 'positive', 'score': 0.02427145466208458}]]",Harvest Finance
"[[{'label': 'neutral', 'score': 0.6187498569488525}, {'label': 'positive', 'score': 0.36514002084732056}, {'label': 'negative', 'score': 0.01611013524234295}]]",Harvest Finance
"[[{'label': 'neutral', 'score': 0.7590752243995667}, {'label': 'positive', 'score': 0.22739078104496002}, {'label': 'negative', 'score': 0.013533998280763626}]]",Badger DAO
"[[{'label': 'neutral', 'score': 0.9413893222808838}, {'label': 'positive', 'score': 0.03129958733916283}, {'label': 'negative', 'score': 0.027311118319630623}]]",Badger DAO
"[[{'label': 'neutral', 'score': 0.9487714171409607}, {'label': 'negative', 'score': 0.02642931416630745}, {'label': 'positive', 'score': 0.02479928731918335}]]",Badger DAO
"[[{'label': 'neutral', 'score': 0.9435597062110901}, {'label': 'positive', 'score': 0.04347490146756172}, {'label': 'negative', 'score': 0.012965385802090168}]]",Badger DAO
"[[{'label': 'neutral', 'score': 0.9368109703063965}, {'label': 'positive', 'score': 0.033887796103954315}, {'label': 'negative', 'score': 0.029301246628165245}]]",Badger DAO
"[[{'label': 'neutral', 'score': 0.9274423122406006}, {'label': 'positive', 'score': 0.05313559249043465}, {'label': 'negative', 'score': 0.019422149285674095}]]",Badger DAO
"[[{'label': 'neutral', 'score': 0.9249460101127625}, {'label': 'negative', 'score': 0.0545119047164917}, {'label': 'positive', 'score': 0.020542148500680923}]]",Badger DAO
"[[{'label': 'neutral', 'score': 0.9384799003601074}, {'label': 'positive', 'score': 0.040981750935316086}, {'label': 'negative', 'score': 0.020538412034511566}]]",Badger DAO
"[[{'label': 'neutral', 'score': 0.9487099051475525}, {'label': 'positive', 'score': 0.03410572186112404}, {'label': 'negative', 'score': 0.017184389755129814}]]",Badger DAO
"[[{'label': 'negative', 'score': 0.9348045587539673}, {'label': 'neutral', 'score': 0.04449455067515373}, {'label': 'positive', 'score': 0.02070092223584652}]]",Badger DAO
"[[{'label': 'neutral', 'score': 0.9306195378303528}, {'label': 'negative', 'score': 0.03853078559041023}, {'label': 'positive', 'score': 0.030849730595946312}]]",Cream Finance
"[[{'label': 'neutral', 'score': 0.9448646903038025}, {'label': 'positive', 'score': 0.0313863679766655}, {'label': 'negative', 'score': 0.023748954758048058}]]",Cream Finance
"[[{'label': 'neutral', 'score': 0.9306195378303528}, {'label': 'negative', 'score': 0.03853078559041023}, {'label': 'positive', 'score': 0.030849730595946312}]]",Cream Finance
"[[{'label': 'neutral', 'score': 0.7155418992042542}, {'label': 'negative', 'score': 0.25234079360961914}, {'label': 'positive', 'score': 0.0321173295378685}]]",Cream Finance
"[[{'label': 'neutral', 'score': 0.6866768598556519}, {'label': 'negative', 'score': 0.2891038656234741}, {'label': 'positive', 'score': 0.024219319224357605}]]",Cream Finance
"[[{'label': 'neutral', 'score': 0.8992564678192139}, {'label': 'positive', 'score': 0.06910783797502518}, {'label': 'negative', 'score': 0.03163563460111618}]]",Cream Finance
"[[{'label': 'negative', 'score': 0.8492587208747864}, {'label': 'neutral', 'score': 0.13366617262363434}, {'label': 'positive', 'score': 0.017075179144740105}]]",Cream Finance
"[[{'label': 'negative', 'score': 0.7085469365119934}, {'label': 'neutral', 'score': 0.27304160594940186}, {'label': 'positive', 'score': 0.018411485478281975}]]",Cream Finance
"[[{'label': 'negative', 'score': 0.6939303874969482}, {'label': 'neutral', 'score': 0.2812386751174927}, {'label': 'positive', 'score': 0.02483096346259117}]]",Cream Finance
"[[{'label': 'positive', 'score': 0.7988331913948059}, {'label': 'neutral', 'score': 0.17663182318210602}, {'label': 'negative', 'score': 0.02453499287366867}]]",Cream Finance
"[[{'label': 'neutral', 'score': 0.9480429291725159}, {'label': 'negative', 'score': 0.027401220053434372}, {'label': 'positive', 'score': 0.02455582283437252}]]",Ren
"[[{'label': 'neutral', 'score': 0.9460001587867737}, {'label': 'positive', 'score': 0.041005346924066544}, {'label': 'negative', 'score': 0.012994563207030296}]]",Ren
"[[{'label': 'neutral', 'score': 0.9421525597572327}, {'label': 'positive', 'score': 0.03201679885387421}, {'label': 'negative', 'score': 0.025830689817667007}]]",Ren
"[[{'label': 'neutral', 'score': 0.9396882057189941}, {'label': 'positive', 'score': 0.03357245773077011}, {'label': 'negative', 'score': 0.026739276945590973}]]",Ren
"[[{'label': 'neutral', 'score': 0.8612798452377319}, {'label': 'negative', 'score': 0.0972103402018547}, {'label': 'positive', 'score': 0.04150986671447754}]]",Ren
"[[{'label': 'neutral', 'score': 0.872066855430603}, {'label': 'negative', 'score': 0.08139161765575409}, {'label': 'positive', 'score': 0.046541571617126465}]]",Ren
"[[{'label': 'neutral', 'score': 0.94325190782547}, {'label': 'positive', 'score': 0.043631020933389664}, {'label': 'negative', 'score': 0.013117041438817978}]]",Ren
"[[{'label': 'neutral', 'score': 0.9280195236206055}, {'label': 'positive', 'score': 0.05907219648361206}, {'label': 'negative', 'score': 0.012908300384879112}]]",Ren
"[[{'label': 'neutral', 'score': 0.9431964159011841}, {'label': 'positive', 'score': 0.035965580493211746}, {'label': 'negative', 'score': 0.02083796262741089}]]",Ren
"[[{'label': 'neutral', 'score': 0.9278246164321899}, {'label': 'positive', 'score': 0.05898427963256836}, {'label': 'negative', 'score': 0.013191109523177147}]]",Ren
"[[{'label': 'neutral', 'score': 0.9155765175819397}, {'label': 'positive', 'score': 0.0693466067314148}, {'label': 'negative', 'score': 0.01507690828293562}]]",mStable
"[[{'label': 'neutral', 'score': 0.9486032724380493}, {'label': 'negative', 'score': 0.02655370533466339}, {'label': 'positive', 'score': 0.024843020364642143}]]",mStable
"[[{'label': 'neutral', 'score': 0.9247717261314392}, {'label': 'positive', 'score': 0.060124125331640244}, {'label': 'negative', 'score': 0.015104150399565697}]]",mStable
"[[{'label': 'neutral', 'score': 0.948488175868988}, {'label': 'positive', 'score': 0.02695559523999691}, {'label': 'negative', 'score': 0.02455616369843483}]]",mStable
"[[{'label': 'neutral', 'score': 0.9350118041038513}, {'label': 'negative', 'score': 0.03610417619347572}, {'label': 'positive', 'score': 0.02888401970267296}]]",mStable
"[[{'label': 'neutral', 'score': 0.8846520781517029}, {'label': 'positive', 'score': 0.10516311228275299}, {'label': 'negative', 'score': 0.010184806771576405}]]",mStable
"[[{'label': 'neutral', 'score': 0.8703917860984802}, {'label': 'positive', 'score': 0.11899463832378387}, {'label': 'negative', 'score': 0.010613634251058102}]]",mStable
"[[{'label': 'neutral', 'score': 0.9442139267921448}, {'label': 'positive', 'score': 0.035722460597753525}, {'label': 'negative', 'score': 0.02006356790661812}]]",mStable
"[[{'label': 'neutral', 'score': 0.9431148767471313}, {'label': 'negative', 'score': 0.030818212777376175}, {'label': 'positive', 'score': 0.026066847145557404}]]",mStable
"[[{'label': 'neutral', 'score': 0.9333028197288513}, {'label': 'positive', 'score': 0.039378684014081955}, {'label': 'negative', 'score': 0.027318501845002174}]]",mStable
"[[{'label': 'neutral', 'score': 0.9474343061447144}, {'label': 'positive', 'score': 0.026961926370859146}, {'label': 'negative', 'score': 0.02560381591320038}]]",Perpetual Protocol
"[[{'label': 'negative', 'score': 0.45230209827423096}, {'label': 'neutral', 'score': 0.41656145453453064}, {'label': 'positive', 'score': 0.1311364471912384}]]",Perpetual Protocol
"[[{'label': 'neutral', 'score': 0.9506820440292358}, {'label': 'positive', 'score': 0.03057865984737873}, {'label': 'negative', 'score': 0.018739329650998116}]]",Perpetual Protocol
"[[{'label': 'neutral', 'score': 0.9323478937149048}, {'label': 'positive', 'score': 0.03491314873099327}, {'label': 'negative', 'score': 0.03273896872997284}]]",Perpetual Protocol
"[[{'label': 'neutral', 'score': 0.9511400461196899}, {'label': 'positive', 'score': 0.024929411709308624}, {'label': 'negative', 'score': 0.023930538445711136}]]",Perpetual Protocol
"[[{'label': 'neutral', 'score': 0.9393919706344604}, {'label': 'positive', 'score': 0.04174274951219559}, {'label': 'negative', 'score': 0.018865268677473068}]]",Perpetual Protocol
"[[{'label': 'neutral', 'score': 0.9465763568878174}, {'label': 'positive', 'score': 0.029222305864095688}, {'label': 'negative', 'score': 0.024201299995183945}]]",Perpetual Protocol
"[[{'label': 'neutral', 'score': 0.9378825426101685}, {'label': 'negative', 'score': 0.0363411083817482}, {'label': 'positive', 'score': 0.025776339694857597}]]",Perpetual Protocol
"[[{'label': 'neutral', 'score': 0.9467098116874695}, {'label': 'positive', 'score': 0.028780756518244743}, {'label': 'negative', 'score': 0.024509480223059654}]]",Perpetual Protocol
"[[{'label': 'neutral', 'score': 0.9362571835517883}, {'label': 'negative', 'score': 0.04082746058702469}, {'label': 'positive', 'score': 0.02291535586118698}]]",Perpetual Protocol
"[[{'label': 'neutral', 'score': 0.9443081021308899}, {'label': 'negative', 'score': 0.02839854173362255}, {'label': 'positive', 'score': 0.027293343096971512}]]",Enzyme Finance
"[[{'label': 'neutral', 'score': 0.8835256099700928}, {'label': 'positive', 'score': 0.1053946316242218}, {'label': 'negative', 'score': 0.011079800315201283}]]",Enzyme Finance
"[[{'label': 'positive', 'score': 0.9282751679420471}, {'label': 'neutral', 'score': 0.052166227251291275}, {'label': 'negative', 'score': 0.019558632746338844}]]",Enzyme Finance
"[[{'label': 'neutral', 'score': 0.9437624216079712}, {'label': 'negative', 'score': 0.03200571611523628}, {'label': 'positive', 'score': 0.024231791496276855}]]",Enzyme Finance
"[[{'label': 'neutral', 'score': 0.8583957552909851}, {'label': 'positive', 'score': 0.13364608585834503}, {'label': 'negative', 'score': 0.00795818492770195}]]",Enzyme Finance
"[[{'label': 'neutral', 'score': 0.8580849170684814}, {'label': 'positive', 'score': 0.1318919062614441}, {'label': 'negative', 'score': 0.01002323068678379}]]",Enzyme Finance
"[[{'label': 'neutral', 'score': 0.9488840103149414}, {'label': 'positive', 'score': 0.02707727439701557}, {'label': 'negative', 'score': 0.024038733914494514}]]",Enzyme Finance
"[[{'label': 'neutral', 'score': 0.9446575045585632}, {'label': 'positive', 'score': 0.04010804742574692}, {'label': 'negative', 'score': 0.015234365127980709}]]",Enzyme Finance
"[[{'label': 'neutral', 'score': 0.8850137591362}, {'label': 'positive', 'score': 0.10682042688131332}, {'label': 'negative', 'score': 0.008165812119841576}]]",Enzyme Finance
"[[{'label': 'neutral', 'score': 0.9291808009147644}, {'label': 'positive', 'score': 0.0564485527575016}, {'label': 'negative', 'score': 0.014370654709637165}]]",Enzyme Finance
"[[{'label': 'negative', 'score': 0.6049933433532715}, {'label': 'neutral', 'score': 0.3778504431247711}, {'label': 'positive', 'score': 0.0171562097966671}]]",Opyn
"[[{'label': 'neutral', 'score': 0.9482642412185669}, {'label': 'positive', 'score': 0.03602931275963783}, {'label': 'negative', 'score': 0.015706414356827736}]]",Opyn
"[[{'label': 'neutral', 'score': 0.86810302734375}, {'label': 'positive', 'score': 0.12273447215557098}, {'label': 'negative', 'score': 0.009162543341517448}]]",Opyn
"[[{'label': 'neutral', 'score': 0.951919436454773}, {'label': 'positive', 'score': 0.0298067107796669}, {'label': 'negative', 'score': 0.01827392354607582}]]",Opyn
"[[{'label': 'neutral', 'score': 0.9494566321372986}, {'label': 'positive', 'score': 0.025381911545991898}, {'label': 'negative', 'score': 0.02516143210232258}]]",Opyn
"[[{'label': 'neutral', 'score': 0.9461040496826172}, {'label': 'positive', 'score': 0.035490356385707855}, {'label': 'negative', 'score': 0.018405579030513763}]]",Opyn
"[[{'label': 'positive', 'score': 0.5991194248199463}, {'label': 'neutral', 'score': 0.39061155915260315}, {'label': 'negative', 'score': 0.01026901789009571}]]",Opyn
"[[{'label': 'neutral', 'score': 0.929690957069397}, {'label': 'positive', 'score': 0.054018285125494}, {'label': 'negative', 'score': 0.016290772706270218}]]",Opyn
"[[{'label': 'neutral', 'score': 0.8928264379501343}, {'label': 'negative', 'score': 0.06641709804534912}, {'label': 'positive', 'score': 0.040756478905677795}]]",Opyn
"[[{'label': 'neutral', 'score': 0.9376706480979919}, {'label': 'positive', 'score': 0.03792566806077957}, {'label': 'negative', 'score': 0.024403683841228485}]]",Opyn
"[[{'label': 'neutral', 'score': 0.9487613439559937}, {'label': 'positive', 'score': 0.031971145421266556}, {'label': 'negative', 'score': 0.019267473369836807}]]",Hegic
"[[{'label': 'neutral', 'score': 0.8908187747001648}, {'label': 'negative', 'score': 0.08522771298885345}, {'label': 'positive', 'score': 0.023953480646014214}]]",Hegic
"[[{'label': 'neutral', 'score': 0.9280679821968079}, {'label': 'negative', 'score': 0.03878404572606087}, {'label': 'positive', 'score': 0.033147964626550674}]]",Hegic
"[[{'label': 'neutral', 'score': 0.8871075510978699}, {'label': 'positive', 'score': 0.07426552474498749}, {'label': 'negative', 'score': 0.038626883178949356}]]",Hegic
"[[{'label': 'neutral', 'score': 0.9402790069580078}, {'label': 'positive', 'score': 0.04230523109436035}, {'label': 'negative', 'score': 0.017415737733244896}]]",Hegic
"[[{'label': 'neutral', 'score': 0.943867564201355}, {'label': 'negative', 'score': 0.032731715589761734}, {'label': 'positive', 'score': 0.023400751873850822}]]",Hegic
"[[{'label': 'neutral', 'score': 0.9291417002677917}, {'label': 'negative', 'score': 0.05078655481338501}, {'label': 'positive', 'score': 0.020071789622306824}]]",Hegic
"[[{'label': 'neutral', 'score': 0.9423681497573853}, {'label': 'positive', 'score': 0.03204963728785515}, {'label': 'negative', 'score': 0.02558220736682415}]]",Hegic
"[[{'label': 'neutral', 'score': 0.9442446231842041}, {'label': 'negative', 'score': 0.03304232284426689}, {'label': 'positive', 'score': 0.022713061422109604}]]",Hegic
"[[{'label': 'neutral', 'score': 0.8579511642456055}, {'label': 'negative', 'score': 0.07141920924186707}, {'label': 'positive', 'score': 0.07062960416078568}]]",Hegic
"[[{'label': 'neutral', 'score': 0.9458490014076233}, {'label': 'negative', 'score': 0.03087552636861801}, {'label': 'positive', 'score': 0.023275448009371758}]]",Saddle Finance
"[[{'label': 'neutral', 'score': 0.9188527464866638}, {'label': 'negative', 'score': 0.05532246083021164}, {'label': 'positive', 'score': 0.025824833661317825}]]",Saddle Finance
"[[{'label': 'neutral', 'score': 0.9420655965805054}, {'label': 'positive', 'score': 0.038005903363227844}, {'label': 'negative', 'score': 0.01992848329246044}]]",Saddle Finance
"[[{'label': 'neutral', 'score': 0.9428536891937256}, {'label': 'negative', 'score': 0.038474708795547485}, {'label': 'positive', 'score': 0.018671557307243347}]]",Saddle Finance
"[[{'label': 'neutral', 'score': 0.9449792504310608}, {'label': 'negative', 'score': 0.029088716953992844}, {'label': 'positive', 'score': 0.0259320717304945}]]",Saddle Finance
"[[{'label': 'negative', 'score': 0.7526240944862366}, {'label': 'neutral', 'score': 0.23527133464813232}, {'label': 'positive', 'score': 0.012104534544050694}]]",Saddle Finance
"[[{'label': 'neutral', 'score': 0.9452118873596191}, {'label': 'positive', 'score': 0.039464399218559265}, {'label': 'negative', 'score': 0.015323774889111519}]]",Saddle Finance
"[[{'label': 'neutral', 'score': 0.945514976978302}, {'label': 'negative', 'score': 0.03378095477819443}, {'label': 'positive', 'score': 0.020704034715890884}]]",Saddle Finance
"[[{'label': 'neutral', 'score': 0.9243578910827637}, {'label': 'negative', 'score': 0.04982677847146988}, {'label': 'positive', 'score': 0.025815283879637718}]]",Saddle Finance
"[[{'label': 'neutral', 'score': 0.671299397945404}, {'label': 'negative', 'score': 0.30908137559890747}, {'label': 'positive', 'score': 0.019619224593043327}]]",Saddle Finance
"[[{'label': 'neutral', 'score': 0.9416685700416565}, {'label': 'positive', 'score': 0.03281708061695099}, {'label': 'negative', 'score': 0.02551431767642498}]]",Liquity
"[[{'label': 'neutral', 'score': 0.948269784450531}, {'label': 'positive', 'score': 0.029461726546287537}, {'label': 'negative', 'score': 0.02226843871176243}]]",Liquity
"[[{'label': 'neutral', 'score': 0.9475860595703125}, {'label': 'negative', 'score': 0.02780735120177269}, {'label': 'positive', 'score': 0.024606630206108093}]]",Liquity
"[[{'label': 'neutral', 'score': 0.5773707628250122}, {'label': 'negative', 'score': 0.3978460431098938}, {'label': 'positive', 'score': 0.024783195927739143}]]",Liquity
"[[{'label': 'neutral', 'score': 0.9092676639556885}, {'label': 'positive', 'score': 0.07748159766197205}, {'label': 'negative', 'score': 0.013250726275146008}]]",Liquity
"[[{'label': 'neutral', 'score': 0.9463443160057068}, {'label': 'negative', 'score': 0.02683224342763424}, {'label': 'positive', 'score': 0.02682347781956196}]]",Liquity
"[[{'label': 'neutral', 'score': 0.8545606136322021}, {'label': 'positive', 'score': 0.13592839241027832}, {'label': 'negative', 'score': 0.009510963223874569}]]",Liquity
"[[{'label': 'neutral', 'score': 0.9510496854782104}, {'label': 'positive', 'score': 0.02535429783165455}, {'label': 'negative', 'score': 0.023596078157424927}]]",Liquity
"[[{'label': 'neutral', 'score': 0.9407584071159363}, {'label': 'negative', 'score': 0.033467985689640045}, {'label': 'positive', 'score': 0.025773650035262108}]]",Liquity
"[[{'label': 'neutral', 'score': 0.9442033767700195}, {'label': 'positive', 'score': 0.040095046162605286}, {'label': 'negative', 'score': 0.015701599419116974}]]",Liquity
"[[{'label': 'negative', 'score': 0.9701631665229797}, {'label': 'neutral', 'score': 0.02836384996771813}, {'label': 'positive', 'score': 0.0014730176282301545}]]", Squid Token
"[[{'label': 'negative', 'score': 0.7906513214111328}, {'label': 'neutral', 'score': 0.20602868497371674}, {'label': 'positive', 'score': 0.0033199903751909733}]]", Fantom Foundation
"[[{'label': 'negative', 'score': 0.9701631665229797}, {'label': 'neutral', 'score': 0.02836384996771813}, {'label': 'positive', 'score': 0.0014730176282301545}]]","Squid Token Scam"
"[[{'label': 'negative', 'score': 0.9776034355163574}, {'label': 'neutral', 'score': 0.021551210731267929}, {'label': 'positive', 'score': 0.0008453735424196348}]]","Fantom Foundation"
"[[{'label': 'negative', 'score': 0.8907344341278076}, {'label': 'neutral', 'score': 0.09761142730712891}, {'label': 'positive', 'score': 0.011654106239974499}]]","Stars Arena BIGTIME Token"
"[[{'label': 'negative', 'score': 0.9800454378128052}, {'label': 'neutral', 'score': 0.019209802150726318}, {'label': 'positive', 'score': 0.0007448060242645442}]]","AnubisDAO"
"[[{'label': 'neutral', 'score': 0.5820505023002625}, {'label': 'negative', 'score': 0.4142049551010132}, {'label': 'positive', 'score': 0.0037445513624697924}]]","DeFi100 Coin"
"[[{'label': 'negative', 'score': 0.9811190962791443}, {'label': 'neutral', 'score': 0.018329791724681854}, {'label': 'positive', 'score': 0.0005511164227500558}]]","Luna Yield"
"[[{'label': 'negative', 'score': 0.9829943180084229}, {'label': 'neutral', 'score': 0.015940576046705246}, {'label': 'positive', 'score': 0.001065116743687913}]]","Ronin Bridge Exploit"
